ticker,date,status,n_trades,n_bars,volume_threshold,avg_bar_volume,avg_bar_duration_seconds,n_features,features_with_nan,n_labeled,n_unlabeled,label_dist,output_path,file_size_mb,processing_time_seconds
SLB,10-8-25,success,8604,562,2200,2335.620996441281,36.25978647686833,9,2,557,5,"{""-1"": 285, ""1"": 272, ""0"": 5}",data\processed\SLB\SLB_10-8-25_processed.parquet,0.05438423156738281,6.183001279830933
SLB,10-7-25,success,11073,741,2200,2342.195681511471,27.387314439946017,9,2,738,3,"{""1"": 374, ""-1"": 364, ""0"": 3}",data\processed\SLB\SLB_10-7-25_processed.parquet,0.06758594512939453,9.095800161361694
SMCI,10-2-25,success,19518,451,6800,7224.733924611974,46.711751662971174,9,2,449,2,"{""1"": 250, ""-1"": 199, ""0"": 2}",data\processed\SMCI\SMCI_10-2-25_processed.parquet,0.05010700225830078,6.513960599899292
SMCI,10-3-25,success,19283,464,6800,7282.450431034483,45.446120689655174,9,2,459,5,"{""1"": 234, ""-1"": 225, ""0"": 5}",data\processed\SMCI\SMCI_10-3-25_processed.parquet,0.05109214782714844,6.72061562538147
SMCI,10-6-25,success,22717,567,6800,7451.181657848325,37.10229276895944,9,2,563,4,"{""1"": 289, ""-1"": 274, ""0"": 4}",data\processed\SMCI\SMCI_10-6-25_processed.parquet,0.05852317810058594,8.498552799224854
SMCI,10-7-25,success,23788,565,6800,7249.088495575221,37.44424778761062,9,2,562,3,"{""-1"": 289, ""1"": 273, ""0"": 3}",data\processed\SMCI\SMCI_10-7-25_processed.parquet,0.05980968475341797,8.654900550842285
TTD,10-3-25,success,10563,544,2400,2547.1341911764707,37.59007352941177,9,2,539,5,"{""1"": 289, ""-1"": 250, ""0"": 5}",data\processed\TTD\TTD_10-3-25_processed.parquet,0.05581092834472656,6.273416996002197
TTD,10-6-25,success,9608,542,2400,2679.459409594096,37.96309963099631,9,2,538,4,"{""1"": 317, ""-1"": 221, ""0"": 4}",data\processed\TTD\TTD_10-6-25_processed.parquet,0.05680656433105469,6.061036825180054
SMCI,10-8-25,success,22805,587,6800,7399.158432708688,36.08688245315162,9,2,585,2,"{""1"": 326, ""-1"": 259, ""0"": 2}",data\processed\SMCI\SMCI_10-8-25_processed.parquet,0.06121063232421875,8.527222871780396
TTD,10-2-25,success,13030,717,2400,2629.2831241283125,28.783821478382148,9,2,714,3,"{""1"": 376, ""-1"": 338, ""0"": 3}",data\processed\TTD\TTD_10-2-25_processed.parquet,0.06753826141357422,9.032236337661743
TTD,10-8-25,success,7886,433,2400,2586.5080831408777,47.70900692840647,9,2,432,1,"{""1"": 217, ""-1"": 215, ""0"": 1}",data\processed\TTD\TTD_10-8-25_processed.parquet,0.04855918884277344,4.624366044998169
UBER,10-2-25,success,8836,560,2000,2163.301785714286,36.3125,9,2,556,4,"{""1"": 300, ""-1"": 256, ""0"": 4}",data\processed\UBER\UBER_10-2-25_processed.parquet,0.056036949157714844,6.1400556564331055
TTD,10-7-25,success,13065,726,2400,2591.0812672176307,28.294765840220386,9,2,720,6,"{""-1"": 380, ""1"": 340, ""0"": 6}",data\processed\TTD\TTD_10-7-25_processed.parquet,0.0698862075805664,9.226386785507202
UBER,10-3-25,success,8983,557,2000,2182.052064631957,36.861759425493716,9,2,553,4,"{""-1"": 294, ""1"": 258, ""0"": 5}",data\processed\UBER\UBER_10-3-25_processed.parquet,0.05670738220214844,6.278858423233032
UBER,10-7-25,success,9650,601,2000,2161.69384359401,33.640599001663894,9,2,598,3,"{""-1"": 304, ""1"": 294, ""0"": 3}",data\processed\UBER\UBER_10-7-25_processed.parquet,0.06100273132324219,7.104590654373169
UBER,10-8-25,success,7894,470,2000,2105.036170212766,43.48510638297872,9,2,464,6,"{""1"": 248, ""-1"": 216, ""0"": 6}",data\processed\UBER\UBER_10-8-25_processed.parquet,0.050606727600097656,5.3247387409210205
XYZ,10-2-25,success,6594,445,2000,2303.0741573033706,45.757303370786516,9,2,444,1,"{""1"": 239, ""-1"": 205, ""0"": 1}",data\processed\XYZ\XYZ_10-2-25_processed.parquet,0.04878044128417969,4.876053094863892
XYZ,10-6-25,success,3519,217,2000,2079.4193548387098,94.3410138248848,9,2,214,3,"{""1"": 107, ""-1"": 103, ""0"": 7}",data\processed\XYZ\XYZ_10-6-25_processed.parquet,0.03308677673339844,2.0792059898376465
XYZ,10-3-25,success,4735,301,2000,2210.607973421927,67.31893687707641,9,2,297,4,"{""1"": 159, ""-1"": 138, ""0"": 4}",data\processed\XYZ\XYZ_10-3-25_processed.parquet,0.03917121887207031,2.9805893898010254
XYZ,10-7-25,success,4389,288,2000,2110.6701388888887,69.66319444444444,9,2,282,6,"{""1"": 147, ""-1"": 131, ""0"": 10}",data\processed\XYZ\XYZ_10-7-25_processed.parquet,0.03796672821044922,2.368143320083618
XYZ,10-8-25,success,3993,260,2000,2214.346153846154,78.08461538461539,9,2,256,4,"{""1"": 140, ""-1"": 116, ""0"": 4}",data\processed\XYZ\XYZ_10-8-25_processed.parquet,0.03666114807128906,1.877917766571045
UBER,10-6-25,success,16605,1051,2000,2130.44053282588,19.32921027592769,9,2,1048,3,"{""1"": 584, ""-1"": 464, ""0"": 3}",data\processed\UBER\UBER_10-6-25_processed.parquet,0.09117317199707031,10.653297424316406
